sn,symbol,company_name,ltp,sector,price
1,ACLBSL,ACLBSL,979.2,,979.2
2,ADBL,ADBL,313.0,,313.0
3,AHL,AHL,597.0,,597.0
4,AHPC,AHPC,278.0,,278.0
5,AKJCL,AKJCL,188.0,,188.0
6,AKPL,AKPL,241.0,,241.0
7,ALBSL,ALBSL,966.3,,966.3
8,ALICL,ALICL,472.0,,472.0
9,ANLB,ANLB,6070.0,,6070.0
10,API,API,277.0,,277.0
11,AVYAN,AVYAN,971.0,,971.0
12,BANDIPUR,BANDIPUR,344.5,,344.5
13,BARUN,BARUN,346.0,,346.0
14,BBC,BBC,4939.0,,4939.0
15,BEDC,BEDC,669.0,,669.0
16,BFC,BFC,483.3,,483.3
17,BGWT,BGWT,756.0,,756.0
18,BHCL,BHCL,436.9,,436.9
19,BHDC,BHDC,475.6,,475.6
20,BHL,BHL,176.0,,176.0
21,BHPL,BHPL,680.7,,680.7
22,BNHC,BNHC,420.0,,420.0
23,BNT,BNT,10800.0,,10800.0
24,BOKD86,BOKD86,1100.0,,1100.0
25,BPCL,BPCL,691.0,,691.0
26,BUNGAL,BUNGAL,410.3,,410.3
27,CBBL,CBBL,990.0,,990.0
28,CFCL,CFCL,481.5,,481.5
29,CGH,CGH,842.8,,842.8
30,CHCL,CHCL,484.0,,484.0
31,CHDC,CHDC,2216.8,,2216.8
32,CHL,CHL,240.1,,240.1
33,CIT,CIT,1822.0,,1822.0
34,CITY,CITY,536.3,,536.3
35,CKHL,CKHL,577.0,,577.0
36,CLI,CLI,464.0,,464.0
37,CMF2,CMF2,8.92,,8.92
38,CORBL,CORBL,1669.1,,1669.1
39,CREST,CREST,1214.0,,1214.0
40,CYCL,CYCL,1500.0,,1500.0
41,CZBIL,CZBIL,187.0,,187.0
42,DDBL,DDBL,850.0,,850.0
43,DHEL,DHEL,520.0,,520.0
44,DHPL,DHPL,283.2,,283.2
45,DLBS,DLBS,1306.1,,1306.1
46,DOLTI,DOLTI,509.6,,509.6
47,DORDI,DORDI,263.1,,263.1
48,EBL,EBL,638.0,,638.0
49,EBLD85,EBLD85,1150.0,,1150.0
50,EBLD86,EBLD86,1110.7,,1110.7
51,EBLD91,EBLD91,1082.0,,1082.0
52,EBLEB89,EBLEB89,1090.0,,1090.0
53,EDBL,EDBL,573.4,,573.4
54,EHPL,EHPL,433.0,,433.0
55,ENL,ENL,876.5,,876.5
56,FMDBL,FMDBL,821.9,,821.9
57,FOWAD,FOWAD,1072.0,,1072.0
58,GBBD85,GBBD85,1092.7,,1092.7
59,GBBL,GBBL,374.0,,374.0
60,GBILD86/87,GBILD86/87,1091.1,,1091.1
61,GBIME,GBIME,226.0,,226.0
62,GBIMESY2,GBIMESY2,8.91,,8.91
63,GCIL,GCIL,422.0,,422.0
64,GFCL,GFCL,562.6,,562.6
65,GHL,GHL,214.0,,214.0
66,GIBF1,GIBF1,9.82,,9.82
67,GILB,GILB,1208.0,,1208.0
68,GLBSL,GLBSL,1960.0,,1960.0
69,GLH,GLH,252.5,,252.5
70,GMFBS,GMFBS,1554.9,,1554.9
71,GMFIL,GMFIL,455.0,,455.0
72,GMLI,GMLI,1770.0,,1770.0
73,GRDBL,GRDBL,1020.0,,1020.0
74,GSY,GSY,8.95,,8.95
75,GUFL,GUFL,510.0,,510.0
76,GVL,GVL,502.2,,502.2
77,H8020,H8020,10.52,,10.52
78,HATHY,HATHY,920.0,,920.0
79,HBL,HBL,189.8,,189.8
80,HBLD83,HBLD83,1100.0,,1100.0
81,HDHPC,HDHPC,172.0,,172.0
82,HDL,HDL,1135.0,,1135.0
83,HEI,HEI,480.0,,480.0
84,HEIP,HEIP,325.0,,325.0
85,HHL,HHL,325.2,,325.2
86,HIDCL,HIDCL,256.1,,256.1
87,HIDCLP,HIDCLP,180.9,,180.9
88,HIMSTAR,HIMSTAR,595.0,,595.0
89,HLBSL,HLBSL,883.0,,883.0
90,HLI,HLI,368.0,,368.0
91,HLICF,HLICF,9.0,,9.0
92,HPPL,HPPL,475.3,,475.3
93,HRL,HRL,806.8,,806.8
94,HURJA,HURJA,225.8,,225.8
95,ICFC,ICFC,622.5,,622.5
96,IGI,IGI,410.0,,410.0
97,IHL,IHL,510.2,,510.2
98,ILBS,ILBS,1156.0,,1156.0
99,ILI,ILI,461.0,,461.0
100,JBBL,JBBL,310.0,,310.0
101,JBLB,JBLB,1423.0,,1423.0
102,JFL,JFL,430.0,,430.0
103,JOSHI,JOSHI,305.0,,305.0
104,JSLBB,JSLBB,1120.0,,1120.0
105,KBL,KBL,178.3,,178.3
106,KBSH,KBSH,1767.0,,1767.0
107,KDBY,KDBY,9.2,,9.2
108,KDL,KDL,902.0,,902.0
109,KEF,KEF,8.82,,8.82
110,KKHC,KKHC,245.0,,245.0
111,KMCDB,KMCDB,980.0,,980.0
112,KPCL,KPCL,539.0,,539.0
113,KSBBL,KSBBL,416.0,,416.0
114,KSBBLD87,KSBBLD87,1135.0,,1135.0
115,KSY,KSY,8.86,,8.86
116,LBBL,LBBL,438.4,,438.4
117,LEC,LEC,190.0,,190.0
118,LICN,LICN,843.8,,843.8
119,LLBS,LLBS,898.0,,898.0
120,LSL,LSL,213.5,,213.5
